Episode,ClassId,SurvivalTime,DamageTaken,AvgDistance,IsWin,SkillId,CastCount,HitCount,TotalDamage,ChargeAttempt,ChargeSuccess,CcAttempt,CcSuccess
34,0,40.98,261.25,5.44,0,2,14,3,30.00,0,0,0,0
34,0,40.98,261.25,5.44,0,3,8,0,0.00,8,8,8,0
34,0,40.98,261.25,5.44,0,1,34,1,20.00,0,0,0,0
34,0,40.98,261.25,5.44,0,6,6,3,150.00,6,6,6,3
34,1,40.98,183.00,5.44,1,7,25,9,45.00,0,0,0,0
34,1,40.98,183.00,5.44,1,8,7,0,0.00,0,0,0,0
34,1,40.98,183.00,5.44,1,9,7,0,0.00,7,6,7,0
34,1,40.98,183.00,5.44,1,12,3,3,180.00,3,3,3,3
35,0,40.98,261.25,5.36,0,3,9,0,0.00,9,9,9,0
35,0,40.98,261.25,5.36,0,6,7,2,100.00,7,7,7,2
35,0,40.98,261.25,5.36,0,1,42,0,0.00,0,0,0,0
35,0,40.98,261.25,5.36,0,2,16,1,10.00,0,0,0,0
35,1,40.98,111.00,5.36,1,12,3,3,180.00,3,3,3,3
35,1,40.98,111.00,5.36,1,8,8,0,0.00,0,0,0,0
35,1,40.98,111.00,5.36,1,9,8,0,0.00,8,8,8,0
35,1,40.98,111.00,5.36,1,7,31,9,45.00,0,0,0,0
36,0,16.02,68.25,2.64,1,1,17,5,100.00,0,0,0,0
36,0,16.02,68.25,2.64,1,2,7,0,0.00,0,0,0,0
36,0,16.02,68.25,2.64,1,3,4,1,30.00,4,4,4,1
36,0,16.02,68.25,2.64,1,6,3,3,150.00,3,3,3,3
36,1,16.02,232.00,2.64,0,12,1,0,0.00,1,0,1,0
36,1,16.02,232.00,2.64,0,9,2,1,30.00,2,2,2,1
36,1,16.02,232.00,2.64,0,8,2,0,0.00,0,0,0,0
36,1,16.02,232.00,2.64,0,7,7,7,35.00,0,0,0,0
37,0,41.98,254.75,7.33,0,6,7,0,0.00,7,6,7,0
37,0,41.98,254.75,7.33,0,2,17,0,0.00,0,0,0,0
37,0,41.98,254.75,7.33,0,1,45,1,20.00,0,0,0,0
37,0,41.98,254.75,7.33,0,3,8,1,30.00,8,8,8,1
37,1,41.98,86.00,7.33,1,9,8,0,0.00,8,8,8,0
37,1,41.98,86.00,7.33,1,7,28,3,15.00,0,0,0,0
37,1,41.98,86.00,7.33,1,12,3,3,180.00,3,3,3,3
37,1,41.98,86.00,7.33,1,8,8,0,0.00,0,0,0,0
38,0,35.44,252.00,4.48,0,2,12,2,20.00,0,0,0,0
38,0,35.44,252.00,4.48,0,1,31,2,40.00,0,0,0,0
38,0,35.44,252.00,4.48,0,6,5,3,150.00,5,4,5,3
38,0,35.44,252.00,4.48,0,3,6,1,30.00,6,6,6,1
38,1,35.44,192.00,4.48,1,8,7,0,0.00,0,0,0,0
38,1,35.44,192.00,4.48,1,12,3,3,180.00,3,3,3,3
38,1,35.44,192.00,4.48,1,7,19,11,55.00,0,0,0,0
38,1,35.44,192.00,4.48,1,9,7,0,0.00,7,7,7,0
39,0,28.94,283.50,4.13,0,3,5,1,30.00,5,5,5,1
39,0,28.94,283.50,4.13,0,2,9,2,20.00,0,0,0,0
39,0,28.94,283.50,4.13,0,6,4,1,50.00,4,4,4,1
39,0,28.94,283.50,4.13,0,1,25,2,40.00,0,0,0,0
39,1,28.92,112.00,4.13,1,8,6,0,0.00,0,0,0,0
39,1,28.92,112.00,4.13,1,12,3,2,120.00,3,3,3,2
39,1,28.92,112.00,4.13,1,9,6,1,30.00,6,6,6,1
39,1,28.92,112.00,4.13,1,7,18,12,60.00,0,0,0,0
40,0,42.48,256.75,5.26,0,6,7,1,50.00,7,7,7,1
40,0,42.48,256.75,5.26,0,3,10,0,0.00,10,9,10,0
40,0,42.48,256.75,5.26,0,1,45,3,60.00,0,0,0,0
40,0,42.48,256.75,5.26,0,2,16,3,30.00,0,0,0,0
40,1,42.48,169.50,5.26,1,7,33,13,65.00,0,0,0,0
40,1,42.48,169.50,5.26,1,12,3,2,120.00,3,3,3,2
40,1,42.48,169.50,5.26,1,9,9,0,0.00,9,9,9,0
40,1,42.48,169.50,5.26,1,8,9,0,0.00,0,0,0,0
41,0,26.92,215.25,2.72,1,6,5,3,150.00,5,5,5,3
41,0,26.92,215.25,2.72,1,3,6,1,30.00,6,6,6,1
41,0,26.92,215.25,2.72,1,2,11,4,40.00,0,0,0,0
41,0,26.92,215.25,2.72,1,1,22,3,60.00,0,0,0,0
41,1,26.92,240.00,2.72,0,8,5,0,0.00,0,0,0,0
41,1,26.92,240.00,2.72,0,9,5,1,30.00,5,5,5,1
41,1,26.92,240.00,2.72,0,12,2,2,120.00,2,2,2,2
41,1,26.92,240.00,2.72,0,7,13,11,55.00,0,0,0,0
42,0,41.48,258.00,6.66,0,3,9,0,0.00,9,9,9,0
42,0,41.48,258.00,6.66,0,2,16,0,0.00,0,0,0,0
42,0,41.48,258.00,6.66,0,1,46,0,0.00,0,0,0,0
42,0,41.48,258.00,6.66,0,6,6,0,0.00,6,4,6,0
42,1,41.48,34.50,6.66,1,9,10,0,0.00,10,10,10,0
42,1,41.48,34.50,6.66,1,12,4,3,180.00,4,4,4,3
42,1,41.48,34.50,6.66,1,7,31,6,30.00,0,0,0,0
42,1,41.48,34.50,6.66,1,8,8,0,0.00,0,0,0,0
43,0,27.20,141.75,2.97,1,6,5,2,100.00,5,5,5,2
43,0,27.20,141.75,2.97,1,2,10,2,20.00,0,0,0,0
43,0,27.20,141.75,2.97,1,1,30,4,80.00,0,0,0,0
43,0,27.20,141.75,2.97,1,3,6,2,60.00,6,6,6,2
43,1,27.20,248.00,2.97,0,9,5,1,30.00,5,5,5,1
43,1,27.20,248.00,2.97,0,7,14,9,45.00,0,0,0,0
43,1,27.20,248.00,2.97,0,8,5,0,0.00,0,0,0,0
43,1,27.20,248.00,2.97,0,12,2,1,60.00,2,1,2,1
1,0,41.48,252.75,6.49,0,2,17,2,20.00,0,0,0,0
1,0,41.48,252.75,6.49,0,1,39,3,60.00,0,0,0,0
1,0,41.48,252.75,6.49,0,3,10,2,60.00,10,10,10,2
1,0,41.48,252.75,6.49,0,6,6,2,100.00,6,5,6,2
1,1,41.48,226.50,6.49,1,8,10,0,0.00,0,0,0,0
1,1,41.48,226.50,6.49,1,7,32,5,25.00,0,0,0,0
1,1,41.48,226.50,6.49,1,9,9,0,0.00,9,9,9,0
1,1,41.48,226.50,6.49,1,12,4,3,180.00,4,3,4,3
2,0,37.12,189.00,4.11,1,3,7,1,30.00,7,7,7,1
2,0,37.12,189.00,4.11,1,1,38,4,80.00,0,0,0,0
2,0,37.12,189.00,4.11,1,2,12,2,20.00,0,0,0,0
2,0,37.12,189.00,4.11,1,6,5,3,150.00,5,5,5,3
2,1,37.12,232.00,4.11,0,8,6,0,0.00,0,0,0,0
2,1,37.12,232.00,4.11,0,12,2,2,120.00,2,2,2,2
2,1,37.12,232.00,4.11,0,7,22,12,60.00,0,0,0,0
2,1,37.12,232.00,4.11,0,9,6,0,0.00,6,5,6,0
3,0,27.42,94.50,3.21,1,1,32,4,80.00,0,0,0,0
3,0,27.42,94.50,3.21,1,2,12,2,20.00,0,0,0,0
3,0,27.42,94.50,3.21,1,3,6,1,30.00,6,6,6,1
3,0,27.42,94.50,3.21,1,6,5,3,150.00,5,5,5,3
3,1,27.42,232.00,3.21,0,12,2,1,60.00,2,2,2,1
3,1,27.42,232.00,3.21,0,9,5,0,0.00,5,4,5,0
3,1,27.42,232.00,3.21,0,7,17,6,30.00,0,0,0,0
3,1,27.42,232.00,3.21,0,8,5,0,0.00,0,0,0,0
4,0,41.98,254.75,6.44,0,3,8,1,30.00,8,8,8,1
4,0,41.98,254.75,6.44,0,6,6,0,0.00,6,6,6,0
4,0,41.98,254.75,6.44,0,1,40,0,0.00,0,0,0,0
4,0,41.98,254.75,6.44,0,2,14,0,0.00,0,0,0,0
4,1,41.98,70.00,6.44,1,8,7,0,0.00,0,0,0,0
4,1,41.98,70.00,6.44,1,9,7,0,0.00,7,7,7,0
4,1,41.98,70.00,6.44,1,12,3,3,180.00,3,3,3,3
4,1,41.98,70.00,6.44,1,7,23,3,15.00,0,0,0,0
5,0,42.48,256.75,7.40,0,2,15,0,0.00,0,0,0,0
5,0,42.48,256.75,7.40,0,3,9,0,0.00,9,8,9,0
5,0,42.48,256.75,7.40,0,6,6,0,0.00,6,6,6,0
5,0,42.48,256.75,7.40,0,1,44,0,0.00,0,0,0,0
5,1,42.48,57.50,7.40,1,7,27,1,5.00,0,0,0,0
